,heading
2376,174.96730041503906
2384,174.96702575683594
2392,174.96717834472656
2400,174.96766662597656
2408,174.9683380126953
2416,174.96914672851562
2424,174.9700927734375
2432,174.9710235595703
2440,174.97201538085938
2448,174.97303771972656
2456,174.97406005859375
2464,174.97506713867188
2472,174.97604370117188
2480,174.97702026367188
2488,174.97799682617188
2496,174.9789581298828
2504,174.97987365722656
2512,175.0242919921875
2520,175.16500854492188
2528,175.39111328125
2536,175.68629455566406
2544,176.03717041015625
2552,176.4329071044922
2560,176.7975311279297
2568,177.13320922851562
2576,177.5083770751953
2584,177.85679626464844
2592,178.13601684570312
2600,178.35995483398438
2608,178.53955078125
2616,178.68357849121094
2624,178.7990264892578
2632,178.8915557861328
2640,178.96559143066406
2648,179.02479553222656
2656,179.07208251953125
2664,179.10987854003906
2672,179.13999938964844
2680,179.1639862060547
2688,179.1831512451172
2696,179.19842529296875
2704,179.21055603027344
2712,179.22027587890625
2720,179.22804260253906
2728,179.2341766357422
2736,179.2390594482422
2744,179.24301147460938
2752,179.24620056152344
2760,179.24887084960938
2768,179.25119018554688
2776,179.2532196044922
2784,179.25502014160156
2792,179.25656127929688
2800,179.25791931152344
2808,179.25918579101562
2816,179.26028442382812
2824,179.26132202148438
2832,179.26231384277344
2840,179.2632293701172
2848,179.26409912109375
2856,179.26492309570312
2864,179.2657928466797
2872,179.26661682128906
2880,179.2674102783203
2888,179.26820373535156
2896,179.26898193359375
2904,179.269775390625
2912,179.2705535888672
2920,179.27134704589844
2928,179.27212524414062
2936,179.2729034423828
2944,179.27369689941406
2952,179.27447509765625
2960,179.2752685546875
2968,179.2760467529297
2976,179.27684020996094
2984,179.27761840820312
2992,179.2343292236328
3000,179.1662139892578
3008,179.11000061035156
3016,179.06373596191406
3024,179.025634765625
3032,178.9942626953125
3040,178.96852111816406
3048,178.94740295410156
3056,178.9301300048828
3064,178.91600036621094
3072,178.90452575683594
3080,178.89523315429688
3088,178.88772583007812
3096,178.8817138671875
3104,178.87692260742188
3112,178.87310791015625
3120,178.8701934814453
3128,178.86793518066406
3136,178.8662567138672
3144,178.86500549316406
3152,178.86419677734375
3160,178.86366271972656
3168,178.86341857910156
3176,178.86337280273438
3184,178.86351013183594
3192,178.86380004882812
3200,178.86419677734375
3208,178.8646697998047
3216,178.865234375
3224,178.8658447265625
3232,178.8665313720703
3240,178.8672637939453
3248,178.86802673339844
3256,178.86880493164062
3264,178.86961364746094
3272,178.87045288085938
3280,178.8712921142578
3288,178.8721466064453
