actor_type,sumo_id,velocity,travelled_distance,throttle,steer,brake,acceleration,acc_x,acc_y,loc_x,loc_y,heading,time_step
vehicle.dodge.charger_police,vehicle5,2.414790630340576,126.55742103018606,1.0,0.0,0.0,7.404437271627227,2.255437135696411,-7.0525665283203125,-470.429443359375,16.91145133972168,-140.8271484375,0.023000000044703484
vehicle.ford.mustang,vehicle6,0.0,3.135775885854128,0.0,0.0,0.0,0.0,0.0,0.0,-384.4994812011719,-8.499999046325684,90.00000762939453,0.023000000044703484
vehicle.audi.tt,vehicle7,0.0,3.124692475048101,0.0,0.0,0.0,0.0,0.0,0.0,-380.6995544433594,-7.39999532699585,90.00000762939453,0.023000000044703484
vehicle.mercedes.coupe_2020,vehicle0,19.929927825927734,92.33279385945693,1.0,0.0,0.0,4.257325431762287,-3.78517484664917,-1.94865882396698,-414.218505859375,9.683981895446777,-179.3129425048828,0.023000000044703484
vehicle.audi.a2,vehicle1,22.820690155029297,73.17456090064363,1.0,0.0,0.0,2.643502312741238,2.6435022354125977,0.0006394035299308598,-354.0565185546875,26.902849197387695,0.004398733843117952,0.023000000044703484
vehicle.tesla.model3,vehicle2,42.97282409667969,177.48647046918282,1.0,0.0,0.0,3.5065367385399786,3.5065360069274902,-0.002265138318762183,-270.5980224609375,37.38414001464844,-0.01135253719985485,0.023000000044703484
vehicle.audi.etron,vehicle3,30.46406364440918,139.42555877661619,1.0,0.0,0.0,2.0298335577655457,-2.0298335552215576,-0.00010162551188841462,-435.02545166015625,5.404521942138672,179.9990997314453,0.023000000044703484
vehicle.tesla.cybertruck,vehicle4,3.9175713062286377,153.83900306260537,1.0,0.0,0.0,22.763393451345646,5.164737224578857,-22.16974449157715,-464.08123779296875,17.08211326599121,-107.05416870117188,0.023000000044703484
vehicle.dodge.charger_police,vehicle5,2.230945587158203,126.60873277879043,1.0,0.0,0.0,8.242606191748324,1.1096855401992798,-8.167567253112793,-470.4670104980469,16.978647232055664,-137.9178924560547,0.023000000044703484
vehicle.ford.mustang,vehicle6,0.0,3.135775885854128,0.0,0.0,0.0,0.0,0.0,0.0,-384.4994812011719,-8.499999046325684,90.00000762939453,0.023000000044703484
vehicle.audi.tt,vehicle7,0.0,3.124692475048101,0.0,0.0,0.0,0.0,0.0,0.0,-380.6995544433594,-7.39999532699585,90.00000762939453,0.023000000044703484
vehicle.mercedes.coupe_2020,vehicle0,20.016965866088867,92.7931840752718,1.0,0.0,0.0,4.174717456410931,-3.7835991382598877,-1.7642685174942017,-414.67822265625,9.68366813659668,-179.27435302734375,0.023000000044703484
vehicle.audi.a2,vehicle1,22.88115692138672,73.70082751085839,1.0,0.0,0.0,2.629155730461699,2.6291556358337402,0.0007053958252072334,-353.5307312011719,26.90288543701172,0.004422994330525398,0.023000000044703484
vehicle.tesla.model3,vehicle2,43.0533447265625,178.4766973998184,1.0,0.0,0.0,3.486634078126112,3.48663330078125,-0.0023282254114747047,-269.6089782714844,37.383949279785156,-0.011383055709302425,0.023000000044703484
vehicle.audi.etron,vehicle3,30.510604858398438,140.12730268972328,1.0,0.0,0.0,2.023530962661041,-2.023530960083008,-0.00010214431677013636,-435.7268371582031,5.4045329093933105,179.9990997314453,0.023000000044703484
