actor_type,sumo_id,velocity,travelled_distance,throttle,steer,brake,acceleration,acc_x,acc_y,loc_x,loc_y,heading,time_step,time
vehicle.dodge.charger_police,vehicle5,1.803200364112854,0.18144701882700626,1.0,0.0,0.0,0.0,0.0,0.0,-347.6999816894531,16.100000381469727,-179.99996948242188,0.023000000044703484,1.0580000020563602
vehicle.ford.mustang,vehicle6,1.803200364112854,0.18144701882700626,0.0,0.0,0.0,0.0,0.0,0.0,-384.5,-8.5,89.99998474121094,0.023000000044703484,1.0810000021010637
vehicle.audi.tt,vehicle7,1.803200364112854,0.18144701882700626,0.0,0.0,0.0,0.0,0.0,0.0,-380.6999816894531,-7.399999618530273,89.99998474121094,0.023000000044703484,1.1040000021457672
vehicle.mercedes.coupe_2020,vehicle0,2.0286004543304443,0.22810482936729198,1.0,0.0,0.0,0.0,0.0,0.0,-426.5,30.399999618530273,0.0,0.023000000044703484,1.1270000021904707
vehicle.audi.a2,vehicle1,2.0286004543304443,0.22810482936729198,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,-426.3999938964844,26.899999618530273,0.0,0.023000000044703484,1.1500000022351742
vehicle.tesla.model3,vehicle2,2.0286004543304443,0.22810482936729198,1.0,0.0,0.0,0.0,0.0,0.0,-447.1999816894531,37.400001525878906,0.0,0.023000000044703484,1.1730000022798777
vehicle.audi.etron,vehicle3,2.0286004543304443,0.22810482936729198,1.0,0.0,0.0,0.0,0.0,0.0,-298.20001220703125,5.400000095367432,-179.99996948242188,0.023000000044703484,1.1960000023245811
vehicle.tesla.cybertruck,vehicle4,2.0286004543304443,0.22810482936729198,1.0,0.0,0.0,0.0,0.0,0.0,-315.8999938964844,13.0,-179.99996948242188,0.023000000044703484,1.2190000023692846
vehicle.dodge.charger_police,vehicle5,2.0286004543304443,0.22810482936729198,1.0,0.0,0.0,0.0,0.0,0.0,-347.6999816894531,16.100000381469727,-179.99996948242188,0.023000000044703484,1.2420000024139881
vehicle.ford.mustang,vehicle6,2.0286004543304443,0.22810482936729198,0.0,0.0,0.0,0.0,0.0,0.0,-384.5,-8.5,89.99998474121094,0.023000000044703484,1.2650000024586916
vehicle.audi.tt,vehicle7,2.0286004543304443,0.22810482936729198,0.0,0.0,0.0,0.0,0.0,0.0,-380.6999816894531,-7.399999618530273,89.99998474121094,0.023000000044703484,1.288000002503395
vehicle.mercedes.coupe_2020,vehicle0,2.254000425338745,0.2799468392508448,1.0,0.0,0.0,0.0,0.0,0.0,-426.5,30.399999618530273,0.0,0.023000000044703484,1.3110000025480986
vehicle.audi.a2,vehicle1,2.254000425338745,0.2799468392508448,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,-426.3999938964844,26.899999618530273,0.0,0.023000000044703484,1.334000002592802
vehicle.tesla.model3,vehicle2,2.254000425338745,0.2799468392508448,1.0,0.0,0.0,0.0,0.0,0.0,-447.1999816894531,37.400001525878906,0.0,0.023000000044703484,1.3570000026375055
vehicle.audi.etron,vehicle3,2.254000425338745,0.2799468392508448,1.0,0.0,0.0,0.0,0.0,0.0,-298.20001220703125,5.400000095367432,-179.99996948242188,0.023000000044703484,1.380000002682209
vehicle.tesla.cybertruck,vehicle4,2.254000425338745,0.2799468392508448,1.0,0.0,0.0,0.0,0.0,0.0,-315.8999938964844,13.0,-179.99996948242188,0.023000000044703484,1.4030000027269125
vehicle.dodge.charger_police,vehicle5,2.254000425338745,0.2799468392508448,1.0,0.0,0.0,0.0,0.0,0.0,-347.6999816894531,16.100000381469727,-179.99996948242188,0.023000000044703484,1.426000002771616
vehicle.ford.mustang,vehicle6,2.254000425338745,0.2799468392508448,0.0,0.0,0.0,0.0,0.0,0.0,-384.5,-8.5,89.99998474121094,0.023000000044703484,1.4490000028163195
vehicle.audi.tt,vehicle7,2.254000425338745,0.2799468392508448,0.0,0.0,0.0,0.0,0.0,0.0,-380.6999816894531,-7.399999618530273,89.99998474121094,0.023000000044703484,1.472000002861023
vehicle.mercedes.coupe_2020,vehicle0,2.479400634765625,0.336973053961292,1.0,0.0,0.0,0.0,0.0,0.0,-426.5,30.399999618530273,0.0,0.023000000044703484,1.4950000029057264
vehicle.audi.a2,vehicle1,2.479400634765625,0.336973053961292,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,-426.3999938964844,26.899999618530273,0.0,0.023000000044703484,1.51800000295043
vehicle.tesla.model3,vehicle2,2.479400634765625,0.336973053961292,1.0,0.0,0.0,0.0,0.0,0.0,-447.1999816894531,37.400001525878906,0.0,0.023000000044703484,1.5410000029951334
vehicle.audi.etron,vehicle3,2.479400634765625,0.336973053961292,1.0,0.0,0.0,0.0,0.0,0.0,-298.20001220703125,5.400000095367432,-179.99996948242188,0.023000000044703484,1.5640000030398369
vehicle.tesla.cybertruck,vehicle4,2.479400634765625,0.336973053961292,1.0,0.0,0.0,0.0,0.0,0.0,-315.8999938964844,13.0,-179.99996948242188,0.023000000044703484,1.5870000030845404
vehicle.dodge.charger_police,vehicle5,2.479400634765625,0.336973053961292,1.0,0.0,0.0,0.0,0.0,0.0,-347.6999816894531,16.100000381469727,-179.99996948242188,0.023000000044703484,1.6100000031292439
vehicle.ford.mustang,vehicle6,2.479400634765625,0.336973053961292,0.0,0.0,0.0,0.0,0.0,0.0,-384.5,-8.5,89.99998474121094,0.023000000044703484,1.6330000031739473
